rikishi1,odds1,rikishi2,odds2,ts,basho
Ichinojo,1.65,Shohozan,2.24,2017-05-14T12:00:01Z,2017-05
Ikioi,2.08,Shodai,1.75,2017-05-14T12:00:01Z,2017-05
Kaisei,1.7,Onosho,2.15,2017-05-14T12:00:01Z,2017-05
Kakuryu,1.18,Chiyonokuni,4.9,2017-05-14T12:00:01Z,2017-05
Kisenosato,1.41,Okinoumi,2.91,2017-05-14T12:00:01Z,2017-05
Kotoshogiku,1.58,Chiyoshoma,2.38,2017-05-14T12:00:01Z,2017-05
Kotoyuki,1.9,Ishiura,1.9,2017-05-14T12:00:01Z,2017-05
Mitakeumi,1.5,Daieisho,2.59,2017-05-14T12:00:01Z,2017-05
Myogiryu,1.8,Yutakayama,2.01,2017-05-14T12:00:01Z,2017-05
Sokokurai,1.7,Takakeisho,2.16,2017-05-14T12:00:01Z,2017-05
Takekaze,1.8,Hokutofuji,2.01,2017-05-14T12:00:01Z,2017-05
Terunofuji,1.74,Tamawashi,2.1,2017-05-14T12:00:01Z,2017-05
Tochiozan,1.7,Takarafuji,2.15,2017-05-14T12:00:01Z,2017-05
Tokushoryu,1.74,Toyohibiki,2.09,2017-05-14T12:00:01Z,2017-05
Ura,1.74,Kagayaki,2.09,2017-05-14T12:00:01Z,2017-05
Goeido,1.89,Takayasu,1.90909090909091,2017-05-14T13:00:02Z,2017-05
Mitakeumi,1.46,Daieisho,2.72,2017-05-14T13:00:02Z,2017-05
Myogiryu,1.83333333333333,Yutakayama,1.97,2017-05-14T13:00:02Z,2017-05
Goeido,1.97,Takayasu,1.83333333333333,2017-05-14T14:00:02Z,2017-05
Mitakeumi,1.42,Daieisho,2.875,2017-05-14T14:00:02Z,2017-05
Harumafuji,1.24,Endo,4.1,2017-05-14T16:00:01Z,2017-05
Ikioi,2.04,Shodai,1.78,2017-05-14T16:00:01Z,2017-05
Kaisei,1.74,Onosho,2.1,2017-05-14T16:00:01Z,2017-05
Kisenosato,1.46,Okinoumi,2.73,2017-05-14T16:00:01Z,2017-05
Terunofuji,1.78,Tamawashi,2.04,2017-05-14T16:00:01Z,2017-05
Ichinojo,1.68,Shohozan,2.19,2017-05-14T22:00:01Z,2017-05
Goeido,2.04,Takayasu,1.78,2017-05-14T23:00:02Z,2017-05
Goeido,2.11,Takayasu,1.73,2017-05-15T07:00:01Z,2017-05
Harumafuji,1.24,Endo,4.05,2017-05-15T07:00:01Z,2017-05
Aoiyama,1.95238095238095,Takanoiwa,1.85,2017-05-15T09:00:01Z,2017-05
Daishomaru,2.24,Chiyotairyu,1.65,2017-05-15T09:00:01Z,2017-05
Goeido,2.08,Takayasu,1.75,2017-05-15T09:00:01Z,2017-05
Hakuho,1.13,Yoshikaze,6,2017-05-15T09:00:01Z,2017-05
Harumafuji,1.27,Endo,3.76,2017-05-15T09:00:01Z,2017-05
Ichinojo,1.68,Shohozan,2.19,2017-05-15T09:00:01Z,2017-05
Ikioi,2.04,Shodai,1.78,2017-05-15T09:00:01Z,2017-05
Kaisei,1.74,Onosho,2.1,2017-05-15T09:00:01Z,2017-05
Kakuryu,1.18,Chiyonokuni,4.85,2017-05-15T09:00:01Z,2017-05
Kisenosato,1.49,Okinoumi,2.625,2017-05-15T09:00:01Z,2017-05
Kotoshogiku,1.58,Chiyoshoma,2.38,2017-05-15T09:00:01Z,2017-05
Kotoyuki,1.9,Ishiura,1.9,2017-05-15T09:00:01Z,2017-05
Mitakeumi,1.42,Daieisho,2.875,2017-05-15T09:00:01Z,2017-05
Myogiryu,1.83333333333333,Yutakayama,1.97,2017-05-15T09:00:01Z,2017-05
