rikishi1,odds1,rikishi2,odds2,ts,basho
Kisenosato,1.66666666666667,Hokutofuji,2.21,2018-01-14T14:35:04Z,2018-01
Takayasu,1.42,Kotoshogiku,2.875,2018-01-14T14:35:04Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T14:40:05Z,2018-01
Daiamami,1.63,Ryuden,2.28,2018-01-14T14:40:05Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T14:40:05Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T14:40:05Z,2018-01
Ikioi,1.82,Endo,1.99,2018-01-14T14:40:05Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T14:40:05Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T14:40:05Z,2018-01
Kaisei,1.99,Chiyonokuni,1.82,2018-01-14T14:40:05Z,2018-01
Kakuryu,1.57,Takakeisho,2.41,2018-01-14T14:40:05Z,2018-01
Kisenosato,1.66666666666667,Hokutofuji,2.21,2018-01-14T14:40:05Z,2018-01
Nishikigi,1.85,Asanoyama,1.95238095238095,2018-01-14T14:40:05Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T14:45:04Z,2018-01
Daiamami,1.63,Ryuden,2.28,2018-01-14T14:45:04Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T14:45:04Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T14:45:04Z,2018-01
Ikioi,1.82,Endo,1.99,2018-01-14T14:45:04Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T14:45:04Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T14:45:04Z,2018-01
Kaisei,1.99,Chiyonokuni,1.82,2018-01-14T14:45:04Z,2018-01
Kakuryu,1.57,Takakeisho,2.41,2018-01-14T14:45:04Z,2018-01
Kisenosato,1.66666666666667,Hokutofuji,2.21,2018-01-14T14:45:04Z,2018-01
Nishikigi,1.85,Asanoyama,1.95238095238095,2018-01-14T14:45:04Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T14:45:05Z,2018-01
Daiamami,1.63,Ryuden,2.28,2018-01-14T14:45:05Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T14:45:05Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T14:45:05Z,2018-01
Ikioi,1.82,Endo,1.99,2018-01-14T14:45:05Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T14:45:05Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T14:45:05Z,2018-01
Kaisei,1.99,Chiyonokuni,1.82,2018-01-14T14:45:05Z,2018-01
Kakuryu,1.57,Takakeisho,2.41,2018-01-14T14:45:05Z,2018-01
Kisenosato,1.66666666666667,Hokutofuji,2.21,2018-01-14T14:45:05Z,2018-01
Nishikigi,1.85,Asanoyama,1.95238095238095,2018-01-14T14:45:05Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T14:50:04Z,2018-01
Daiamami,1.63,Ryuden,2.28,2018-01-14T14:50:04Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T14:50:04Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T14:50:04Z,2018-01
Ikioi,1.82,Endo,1.99,2018-01-14T14:50:04Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T14:50:04Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T14:50:04Z,2018-01
Kaisei,1.99,Chiyonokuni,1.82,2018-01-14T14:50:04Z,2018-01
Kakuryu,1.57,Takakeisho,2.41,2018-01-14T14:50:04Z,2018-01
Kisenosato,1.66666666666667,Hokutofuji,2.21,2018-01-14T14:50:04Z,2018-01
Nishikigi,1.85,Asanoyama,1.95238095238095,2018-01-14T14:50:04Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T15:40:04Z,2018-01
Daiamami,1.63,Ryuden,2.28,2018-01-14T15:40:04Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T15:40:04Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T15:40:04Z,2018-01
Ikioi,1.82,Endo,1.99,2018-01-14T15:40:04Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T15:40:04Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T15:40:04Z,2018-01
Kaisei,1.99,Chiyonokuni,1.82,2018-01-14T15:40:04Z,2018-01
Kakuryu,1.57,Takakeisho,2.41,2018-01-14T15:40:04Z,2018-01
Kisenosato,1.66666666666667,Hokutofuji,2.21,2018-01-14T15:40:04Z,2018-01
Nishikigi,1.85,Asanoyama,1.95238095238095,2018-01-14T15:40:04Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T15:40:07Z,2018-01
Daiamami,1.63,Ryuden,2.28,2018-01-14T15:40:07Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T15:40:07Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T15:40:07Z,2018-01
Ikioi,1.82,Endo,1.99,2018-01-14T15:40:07Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T15:40:07Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T15:40:07Z,2018-01
Kaisei,1.99,Chiyonokuni,1.82,2018-01-14T15:40:07Z,2018-01
Kakuryu,1.57,Takakeisho,2.41,2018-01-14T15:40:07Z,2018-01
Kisenosato,1.66666666666667,Hokutofuji,2.21,2018-01-14T15:40:07Z,2018-01
Nishikigi,1.85,Asanoyama,1.95238095238095,2018-01-14T15:40:07Z,2018-01
Ikioi,1.81,Endo,2,2018-01-14T16:20:04Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T16:25:04Z,2018-01
Daiamami,1.63,Ryuden,2.28,2018-01-14T16:25:04Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T16:25:04Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T16:25:04Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T16:25:04Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T16:25:04Z,2018-01
Kaisei,1.99,Chiyonokuni,1.82,2018-01-14T16:25:04Z,2018-01
Kakuryu,1.57,Takakeisho,2.41,2018-01-14T16:25:04Z,2018-01
Kisenosato,1.66666666666667,Hokutofuji,2.21,2018-01-14T16:25:04Z,2018-01
Nishikigi,1.85,Asanoyama,1.95238095238095,2018-01-14T16:25:04Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T16:25:05Z,2018-01
Daiamami,1.63,Ryuden,2.28,2018-01-14T16:25:05Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T16:25:05Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T16:25:05Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T16:25:05Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T16:25:05Z,2018-01
Kaisei,1.99,Chiyonokuni,1.82,2018-01-14T16:25:05Z,2018-01
Kakuryu,1.57,Takakeisho,2.41,2018-01-14T16:25:05Z,2018-01
Kisenosato,1.66666666666667,Hokutofuji,2.21,2018-01-14T16:25:05Z,2018-01
Nishikigi,1.85,Asanoyama,1.95238095238095,2018-01-14T16:25:05Z,2018-01
Mitakeumi,1.47,Chiyotairyu,2.69,2018-01-14T16:50:04Z,2018-01
Nishikigi,1.84,Asanoyama,1.96,2018-01-14T16:50:04Z,2018-01
Mitakeumi,1.49,Chiyotairyu,2.625,2018-01-14T16:50:04Z,2018-01
Nishikigi,1.85,Asanoyama,1.95238095238095,2018-01-14T16:50:04Z,2018-01
Mitakeumi,1.47,Chiyotairyu,2.69,2018-01-14T16:55:04Z,2018-01
Nishikigi,1.84,Asanoyama,1.96,2018-01-14T16:55:04Z,2018-01
Aminishiki,1.92,Chiyomaru,1.88,2018-01-14T17:05:04Z,2018-01
Daiamami,1.66,Ryuden,2.22,2018-01-14T17:05:04Z,2018-01
Hakuho,1.09,Ichinojo,7.4,2018-01-14T17:05:04Z,2018-01
Kaisei,1.97,Chiyonokuni,1.83333333333333,2018-01-14T17:05:04Z,2018-01
Kakuryu,1.6,Takakeisho,2.35,2018-01-14T17:05:04Z,2018-01
Kisenosato,1.67,Hokutofuji,2.2,2018-01-14T17:05:04Z,2018-01
Nishikigi,1.9,Asanoyama,1.9,2018-01-14T17:05:04Z,2018-01
Takayasu,1.41,Kotoshogiku,2.91,2018-01-14T17:05:04Z,2018-01
Tamawashi,1.74,Yoshikaze,2.1,2018-01-14T17:05:04Z,2018-01
Tochiozan,1.57,Shohozan,2.41,2018-01-14T17:05:04Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T17:20:05Z,2018-01
Daiamami,1.66,Ryuden,2.22,2018-01-14T17:20:05Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T17:20:05Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T17:20:05Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T17:20:05Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T17:20:05Z,2018-01
Kaisei,1.97,Chiyonokuni,1.83333333333333,2018-01-14T17:20:05Z,2018-01
Tochiozan,1.57,Shohozan,2.41,2018-01-14T17:20:05Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T17:25:04Z,2018-01
Daiamami,1.66,Ryuden,2.22,2018-01-14T17:25:04Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T17:25:04Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T17:25:04Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T17:25:04Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T17:25:04Z,2018-01
Kaisei,1.97,Chiyonokuni,1.83333333333333,2018-01-14T17:25:04Z,2018-01
Tochiozan,1.57,Shohozan,2.41,2018-01-14T17:25:04Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T17:30:05Z,2018-01
Daiamami,1.66,Ryuden,2.22,2018-01-14T17:30:05Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T17:30:05Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T17:30:05Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T17:30:05Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T17:30:05Z,2018-01
Kaisei,1.97,Chiyonokuni,1.83333333333333,2018-01-14T17:30:05Z,2018-01
Tochiozan,1.57,Shohozan,2.41,2018-01-14T17:30:05Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T17:30:06Z,2018-01
Daiamami,1.66,Ryuden,2.22,2018-01-14T17:30:06Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T17:30:06Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T17:30:06Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T17:30:06Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T17:30:06Z,2018-01
Kaisei,1.97,Chiyonokuni,1.83333333333333,2018-01-14T17:30:06Z,2018-01
Tochiozan,1.57,Shohozan,2.41,2018-01-14T17:30:06Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T17:35:05Z,2018-01
Daiamami,1.66,Ryuden,2.22,2018-01-14T17:35:05Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T17:35:05Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T17:35:05Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T17:35:05Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T17:35:05Z,2018-01
Kaisei,1.97,Chiyonokuni,1.83333333333333,2018-01-14T17:35:05Z,2018-01
Tochiozan,1.57,Shohozan,2.41,2018-01-14T17:35:05Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T17:40:05Z,2018-01
Daiamami,1.66,Ryuden,2.22,2018-01-14T17:40:05Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T17:40:05Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T17:40:05Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T17:40:05Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T17:40:05Z,2018-01
Kaisei,1.97,Chiyonokuni,1.83333333333333,2018-01-14T17:40:05Z,2018-01
Tochiozan,1.57,Shohozan,2.41,2018-01-14T17:40:05Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T17:45:05Z,2018-01
Daiamami,1.66,Ryuden,2.22,2018-01-14T17:45:05Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T17:45:05Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T17:45:05Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T17:45:05Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T17:45:05Z,2018-01
Kaisei,1.97,Chiyonokuni,1.83333333333333,2018-01-14T17:45:05Z,2018-01
Tochiozan,1.57,Shohozan,2.41,2018-01-14T17:45:05Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T17:45:06Z,2018-01
Daiamami,1.66,Ryuden,2.22,2018-01-14T17:45:06Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T17:45:06Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T17:45:06Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T17:45:06Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T17:45:06Z,2018-01
Kaisei,1.97,Chiyonokuni,1.83333333333333,2018-01-14T17:45:06Z,2018-01
Tochiozan,1.57,Shohozan,2.41,2018-01-14T17:45:06Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T18:05:04Z,2018-01
Daiamami,1.66,Ryuden,2.22,2018-01-14T18:05:04Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T18:05:04Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T18:05:04Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T18:05:04Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T18:05:04Z,2018-01
Kaisei,1.97,Chiyonokuni,1.83333333333333,2018-01-14T18:05:04Z,2018-01
Tochiozan,1.57,Shohozan,2.41,2018-01-14T18:05:04Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T18:05:05Z,2018-01
Daiamami,1.66,Ryuden,2.22,2018-01-14T18:05:05Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T18:05:05Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T18:05:05Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T18:05:05Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T18:05:05Z,2018-01
Kaisei,1.97,Chiyonokuni,1.83333333333333,2018-01-14T18:05:05Z,2018-01
Tochiozan,1.57,Shohozan,2.41,2018-01-14T18:05:05Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T18:40:04Z,2018-01
Daiamami,1.66,Ryuden,2.22,2018-01-14T18:40:04Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T18:40:04Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T18:40:04Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T18:40:04Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T18:40:04Z,2018-01
Kaisei,1.97,Chiyonokuni,1.83333333333333,2018-01-14T18:40:04Z,2018-01
Tochiozan,1.57,Shohozan,2.41,2018-01-14T18:40:04Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T18:40:06Z,2018-01
Daiamami,1.66,Ryuden,2.22,2018-01-14T18:40:06Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T18:40:06Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T18:40:06Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T18:40:06Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T18:40:06Z,2018-01
Kaisei,1.97,Chiyonokuni,1.83333333333333,2018-01-14T18:40:06Z,2018-01
Tochiozan,1.57,Shohozan,2.41,2018-01-14T18:40:06Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T18:45:04Z,2018-01
Daiamami,1.66,Ryuden,2.22,2018-01-14T18:45:04Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T18:45:04Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T18:45:04Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T18:45:04Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T18:45:04Z,2018-01
Kaisei,1.97,Chiyonokuni,1.83333333333333,2018-01-14T18:45:04Z,2018-01
Tochiozan,1.57,Shohozan,2.41,2018-01-14T18:45:04Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T18:45:05Z,2018-01
Daiamami,1.66,Ryuden,2.22,2018-01-14T18:45:05Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T18:45:05Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T18:45:05Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T18:45:05Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T18:45:05Z,2018-01
Kaisei,1.97,Chiyonokuni,1.83333333333333,2018-01-14T18:45:05Z,2018-01
Tochiozan,1.57,Shohozan,2.41,2018-01-14T18:45:05Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T18:55:05Z,2018-01
Daiamami,1.66,Ryuden,2.22,2018-01-14T18:55:05Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T18:55:05Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T18:55:05Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T18:55:05Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T18:55:05Z,2018-01
Kaisei,1.97,Chiyonokuni,1.83333333333333,2018-01-14T18:55:05Z,2018-01
Tochiozan,1.57,Shohozan,2.41,2018-01-14T18:55:05Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T19:00:05Z,2018-01
Daiamami,1.66,Ryuden,2.22,2018-01-14T19:00:05Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T19:00:05Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T19:00:05Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T19:00:05Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T19:00:05Z,2018-01
Kaisei,1.97,Chiyonokuni,1.83333333333333,2018-01-14T19:00:05Z,2018-01
Tochiozan,1.57,Shohozan,2.41,2018-01-14T19:00:05Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T19:10:05Z,2018-01
Daiamami,1.66,Ryuden,2.22,2018-01-14T19:10:05Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T19:10:05Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T19:10:05Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T19:10:05Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T19:10:05Z,2018-01
Kaisei,1.97,Chiyonokuni,1.83333333333333,2018-01-14T19:10:05Z,2018-01
Tochiozan,1.57,Shohozan,2.41,2018-01-14T19:10:05Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T19:15:05Z,2018-01
Daiamami,1.66,Ryuden,2.22,2018-01-14T19:15:05Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T19:15:05Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T19:15:05Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T19:15:05Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T19:15:05Z,2018-01
Kaisei,1.97,Chiyonokuni,1.83333333333333,2018-01-14T19:15:05Z,2018-01
Tochiozan,1.57,Shohozan,2.41,2018-01-14T19:15:05Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T19:25:05Z,2018-01
Daiamami,1.66,Ryuden,2.22,2018-01-14T19:25:05Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T19:25:05Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T19:25:05Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T19:25:05Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T19:25:05Z,2018-01
Kaisei,1.97,Chiyonokuni,1.83333333333333,2018-01-14T19:25:05Z,2018-01
Tochiozan,1.57,Shohozan,2.41,2018-01-14T19:25:05Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T19:30:05Z,2018-01
Daiamami,1.66,Ryuden,2.22,2018-01-14T19:30:05Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T19:30:05Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T19:30:05Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T19:30:05Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T19:30:05Z,2018-01
Kaisei,1.97,Chiyonokuni,1.83333333333333,2018-01-14T19:30:05Z,2018-01
Tochiozan,1.57,Shohozan,2.41,2018-01-14T19:30:05Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T19:35:04Z,2018-01
Daiamami,1.66,Ryuden,2.22,2018-01-14T19:35:04Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T19:35:04Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T19:35:04Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T19:35:04Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T19:35:04Z,2018-01
Kaisei,1.97,Chiyonokuni,1.83333333333333,2018-01-14T19:35:04Z,2018-01
Tochiozan,1.57,Shohozan,2.41,2018-01-14T19:35:04Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T19:35:05Z,2018-01
Daiamami,1.66,Ryuden,2.22,2018-01-14T19:35:05Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T19:35:05Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T19:35:05Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T19:35:05Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T19:35:05Z,2018-01
Kaisei,1.97,Chiyonokuni,1.83333333333333,2018-01-14T19:35:05Z,2018-01
Tochiozan,1.57,Shohozan,2.41,2018-01-14T19:35:05Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T19:40:04Z,2018-01
Daiamami,1.66,Ryuden,2.22,2018-01-14T19:40:04Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T19:40:04Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T19:40:04Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T19:40:04Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T19:40:04Z,2018-01
Kaisei,1.97,Chiyonokuni,1.83333333333333,2018-01-14T19:40:04Z,2018-01
Tochiozan,1.57,Shohozan,2.41,2018-01-14T19:40:04Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T19:40:06Z,2018-01
Daiamami,1.66,Ryuden,2.22,2018-01-14T19:40:06Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T19:40:06Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T19:40:06Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T19:40:06Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T19:40:06Z,2018-01
Kaisei,1.97,Chiyonokuni,1.83333333333333,2018-01-14T19:40:06Z,2018-01
Tochiozan,1.57,Shohozan,2.41,2018-01-14T19:40:06Z,2018-01
Aminishiki,1.95,Chiyomaru,1.85,2018-01-14T19:45:05Z,2018-01
Takayasu,1.39,Kotoshogiku,3,2018-01-14T19:45:05Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T19:50:04Z,2018-01
Daiamami,1.66,Ryuden,2.22,2018-01-14T19:50:04Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T19:50:04Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T19:50:04Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T19:50:04Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T19:50:04Z,2018-01
Kaisei,1.97,Chiyonokuni,1.83333333333333,2018-01-14T19:50:04Z,2018-01
Takayasu,1.39,Kotoshogiku,3,2018-01-14T19:50:04Z,2018-01
Tochiozan,1.57,Shohozan,2.41,2018-01-14T19:50:04Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T19:55:05Z,2018-01
Daiamami,1.66,Ryuden,2.22,2018-01-14T19:55:05Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T19:55:05Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T19:55:05Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T19:55:05Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T19:55:05Z,2018-01
Kaisei,1.97,Chiyonokuni,1.83333333333333,2018-01-14T19:55:05Z,2018-01
Takayasu,1.39,Kotoshogiku,3,2018-01-14T19:55:05Z,2018-01
Tochiozan,1.57,Shohozan,2.41,2018-01-14T19:55:05Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T20:35:05Z,2018-01
Daiamami,1.66,Ryuden,2.22,2018-01-14T20:35:05Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T20:35:05Z,2018-01
Goeido,1.52,Onosho,2.53,2018-01-14T20:35:05Z,2018-01
Ishiura,1.68,Abi,2.19,2018-01-14T20:35:05Z,2018-01
Kagayaki,1.59,Daishomaru,2.36,2018-01-14T20:35:05Z,2018-01
Kaisei,1.97,Chiyonokuni,1.83333333333333,2018-01-14T20:35:05Z,2018-01
Takayasu,1.39,Kotoshogiku,3,2018-01-14T20:35:05Z,2018-01
Tochiozan,1.57,Shohozan,2.41,2018-01-14T20:35:05Z,2018-01
Chiyoshoma,1.85,Takarafuji,1.95238095238095,2018-01-14T20:40:04Z,2018-01
Daiamami,1.66,Ryuden,2.22,2018-01-14T20:40:04Z,2018-01
Daieisho,1.85,Yutakayama,1.95238095238095,2018-01-14T20:40:04Z,2018-01
